id_student,name,gender,region,highest_education,imd_band,age_band,disability
11391,Mark Fuller,M,East Anglian Region,HE Qualification,90-100%,55<=,N
28400,Kristin Labianca,F,Scotland,HE Qualification,20-30%,35-55,N
30268,Latrisha Frost,F,North Western Region,A Level or Equivalent,30-40%,35-55,Y
31604,Gloria Smith,F,South East Region,A Level or Equivalent,50-60%,35-55,N
32885,Jean Manning,F,West Midlands Region,Lower Than A Level,50-60%,0-35,N
38053,Joseph Gaver,M,Wales,A Level or Equivalent,80-90%,35-55,N
45462,George Gomez,M,Scotland,HE Qualification,30-40%,0-35,N
45642,Regina Harden,F,North Western Region,A Level or Equivalent,90-100%,0-35,N
52130,Dolores Rainer,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N
53025,Bill Lane,M,North Region,Post Graduate Qualification,,55<=,N
57506,Robert Kunz,M,South Region,Lower Than A Level,70-80%,35-55,N
58873,Ruth Hanner,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,N
59185,Levi Stiff,M,East Anglian Region,Lower Than A Level,60-70%,35-55,N
62155,Jenny Ott,F,North Western Region,HE Qualification,50-60%,0-35,N
63400,Kevin Whipkey,M,Scotland,Lower Than A Level,40-50%,35-55,N
65002,Bonnie Maier,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,N
70464,Jonelle Vien,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,N
71361,William Kaufman,M,Ireland,HE Qualification,,35-55,N
74372,Allan Ray,M,East Anglian Region,A Level or Equivalent,10-20,35-55,N
75091,Ronald Ledford,M,South West Region,A Level or Equivalent,30-40%,35-55,N
77367,Harvey Richards,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,N
91265,Daniel Fitzsimmons,M,North Western Region,HE Qualification,0-10%,0-35,N
94961,Jason Jaramillo,M,South Region,Lower Than A Level,70-80%,35-55,N
98094,Michael Avila,M,Wales,Lower Than A Level,70-80%,35-55,N
100893,Marcelino Mapston,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,N
101781,Robert Gove,M,South Region,Lower Than A Level,80-90%,35-55,N
102806,Jeremy Pontiff,M,North Western Region,A Level or Equivalent,30-40%,0-35,N
102952,Gerald Whitaker,M,London Region,HE Qualification,60-70%,0-35,N
104476,Jeffrey Smith,M,Ireland,Post Graduate Qualification,,35-55,N
106247,Brian Ratliff,M,South Region,HE Qualification,80-90%,35-55,N
106577,Troy Perry,M,East Midlands Region,Lower Than A Level,20-30%,0-35,N
110175,Enoch Williams,M,East Anglian Region,HE Qualification,80-90%,35-55,N
111717,Kaitlin Haynes,F,East Anglian Region,HE Qualification,90-100%,35-55,N
113295,Michael Myers,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,N
114017,Josephine Abreu,F,North Region,Post Graduate Qualification,,35-55,N
114999,Brian Smith,M,Yorkshire Region,HE Qualification,60-70%,35-55,N
116541,John Hammers,M,Wales,HE Qualification,0-10%,0-35,N
116692,Jason Martinez,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,N
118983,August Taylor,M,East Midlands Region,HE Qualification,30-40%,0-35,N
123044,Ronald Campbell,M,South Region,A Level or Equivalent,40-50%,35-55,N
127582,Elaine Khan,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,N
129955,Matthew Caras,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,N
132976,Patricia Ramirez,F,East Anglian Region,Lower Than A Level,80-90%,35-55,N
134143,Penny Williams,F,South East Region,A Level or Equivalent,90-100%,35-55,N
135335,Ann Luneau,F,East Anglian Region,Lower Than A Level,20-30%,0-35,N
135400,Edith Nolazco,F,South East Region,Lower Than A Level,90-100%,35-55,Y
137873,Michael Caggiano,M,South West Region,A Level or Equivalent,40-50%,35-55,N
141355,Alysia Gonsoulin,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,N
141377,Clarence Washington,M,South West Region,A Level or Equivalent,90-100%,0-35,N
142326,Sherryl Willoughby,F,North Region,A Level or Equivalent,50-60%,35-55,N
